name,Mins,Goals,Goals_Per_Min
 A. Barnes,1424,6,0.004213483
 A. Belotti,3214,16,0.00497822
 A. Budimir,2923,13,0.004447485
 A. Candreva,2107,5,0.002373042
 A. Cornelius,1637,12,0.007330483
 A. Delort,2409,9,0.00373599
 A. Donnarumma,1829,7,0.003827228
 A. Doucouré,3382,4,0.001182732
 A. El Ghazi,2216,4,0.001805054
 A. Griezmann,2675,9,0.003364486
 A. Hunou,1325,8,0.006037736
 A. Isak,1678,9,0.005363528
 A. Lacazette,2033,10,0.004918839
 A. Martial,2788,17,0.006097561
 A. Milik,1870,11,0.005882353
 A. Modeste,1240,4,0.003225806
 A. Petagna,3263,12,0.003677597
 A. Pinamonti,2398,5,0.002085071
 A. Sanabria,1494,6,0.004016064
 A. Sánchez,1027,4,0.003894839
 A. Vidal,1826,8,0.004381161
 A. Yarmolenko,1107,5,0.004516712
 Alex Berenguer,1909,6,0.003143007
 André Silva,1694,12,0.007083825
 Ángel,1611,10,0.006207325
 Ayoze Pérez,2131,8,0.003754106
 B. Dia,1902,7,0.003680336
 B. Dost,1574,8,0.005082592
 B. Embolo,1639,8,0.004881025
 B. Linssen,2256,14,0.006205674
 B. Raman,1668,4,0.002398082
 Bernardo Silva,2209,6,0.002716161
 Borja Mayoral,2291,8,0.003491925
 Bruno Fernandes,1268,8,0.006309148
 C. Adams,1272,4,0.003144654
 C. Dessers,2461,15,0.006095083
 C. Gakpo,1557,7,0.004495825
 C. Immobile,3371,36,0.010679324
 C. Nkunku,1941,5,0.002575992
 C. Wilson,3144,8,0.002544529
 C. Wood,2616,14,0.005351682
 Carlos Fernández,2428,10,0.004118616
 Charles,1449,6,0.004140787
 Cristiano Ronaldo,3127,31,0.009913655
 D. Alli,1997,8,0.004006009
 D. Benedetto,2214,11,0.004968383
 D. Berardi,2654,14,0.005275057
 D. Bouanga,2173,10,0.004601933
 D. Calvert-Lewin,2849,13,0.004563005
 D. Gayle,941,4,0.004250797
 D. Ings,3009,22,0.007311399
 D. Klaassen,3114,7,0.002247913
 D. Machís,2338,7,0.002994012
 D. Malen,1245,11,0.008835341
 D. Mertens,1848,9,0.00487013
 D. Origi,855,4,0.004678363
 D. Payet,2057,9,0.004375304
 D. van de Beek,2023,8,0.003954523
 D. Zapata,2143,18,0.00839944
 Dalmau,449,4,0.008908686
 Dani Rodríguez,3247,5,0.001539883
 David Neres,682,6,0.008797654
 Davidson,1678,5,0.002979738
 Deyverson,1927,5,0.002594707
 Diego Costa,1479,5,0.003380663
 Diogo Jota,2431,7,0.002879473
 Douglas Tanque,2054,11,0.005355404
 E. Bardhi,2269,7,0.003085059
 E. Cavani,662,4,0.006042296
 E. Haaland,1116,12,0.010752688
 E. Koulouris,1651,4,0.002422774
 E. Torregrossa,1945,7,0.003598972
 E. Ünal,2537,6,0.002364998
 Edu Expósito,2514,4,0.00159109
 Everaldo,3233,14,0.004330343
 F. Caicedo,1521,9,0.00591716
 F. Caputo,3125,21,0.00672
 F. Niederlechner,2846,13,0.004567814
 F. Quagliarella,2413,11,0.004558641
 Fábio Abreu,2570,13,0.005058366
 G. Charbonnier,2186,4,0.001829826
 G. Higuaín,1979,8,0.004042446
 G. Kerk,2155,10,0.004640371
 G. Laborde,2346,6,0.002557545
 G. Lapadula,1906,11,0.005771249
 G. Ramírez,1504,7,0.004654255
 G. Simeone,3115,12,0.003852327
 G. Wijnaldum,3105,4,0.001288245
 Gabriel Jesus,2209,14,0.006337709
 Gelson Dala,705,6,0.008510638
 Gerard Moreno,2831,18,0.006358177
 Gonçalo Paciência,1355,7,0.005166052
 H. Aouar,2084,3,0.001439539
 H. Diallo,2344,12,0.005119454
 H. Kane,2801,18,0.006426276
 H. Mkhitaryan,1634,9,0.005507956
 H. Wilson,1788,7,0.003914989
 H. Ziyech,1665,6,0.003603604
 I. Bebou,2238,6,0.002680965
 I. Cardona,1541,6,0.003893576
 I. Sarr,2207,5,0.002265519
 I. Slimani,1378,9,0.006531205
